,Team,Win--Loss
0,OG,7--0
1,Wind and Rain,5--2
2,BlinkPool,4--2
3,Team Kinguin,4--3
4,Alliance,3--4
5,Singularity Esports,2--5
6,The Final Tribe,1--5
7,Kingdra,1--6
