,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, OG,2, Team Kinguin,0
1,Upper Bracket Round 1, Wind and Rain,2, BlinkPool,1
2,Upper Bracket Final, OG,2, Wind and Rain,1
3,Lower Bracket Round 1, Team Kinguin,0, BlinkPool,2
4,Lower Bracket Final, Wind and Rain,2, BlinkPool,1
5,Grand Final, OG,3, Wind and Rain,1
