,Team,Win--Loss
0,Wings Gaming,7--2
1,EHOME,7--2
2,VG.Reborn,6--3
3,Invictus Gaming,6--3
4,Vici Gaming,5--4
5,iG Vitality,5--4
6,CDEC Gaming,3--6
7,CDEC Youth,3--6
8,Newbee Young,2--7
9,TongFu,1--8
