,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, VG.Reborn,2, Invictus Gaming,0
1,Upper Bracket Round 1, EHOME,2, Vici Gaming,0
2,Upper Bracket Final, VG.Reborn,1, EHOME,2
3,Lower Bracket Round 1, Invictus Gaming,0, Vici Gaming,2
4,Lower Bracket Final, VG.Reborn,2, Vici Gaming,1
5,Grand Final, EHOME,2, VG.Reborn,3
