,Round,Team1,Score1,Team2,Score2
0,Winners' Round 1 (Bo3), NA Rejects,0, compLexity,2
1,Losers' Round 1 (Bo3), Void Boys,0, mousesports,2
2,Losers' Round 2 (Bo3), NA Rejects,2, mousesports,1
3,Grand Finals (Bo5), compLexity,3, NA Rejects,0
