,Hero
0,Arc Warden
1,Bloodseeker
2,Clockwerk
3,Dark Willow
4,Dawnbreaker
5,Grimstroke
6,Hoodwink
7,Leshrac
8,Lina
9,Marci
10,Mars
11,Monkey King
12,Pangolier
13,Primal Beast
14,Snapfire
15,Treant Protector
16,Underlord
17,Visage
18,Void Spirit
