,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Vega Squadron,2, Natus Vincere,0
1,Upper Bracket Round 1, Winstrike Team,2, Team Empire,1
2,Upper Bracket Final, Vega Squadron,1, Winstrike Team,2
3,Lower Bracket Round 1, Natus Vincere,0, Team Empire,2
4,Lower Bracket Final, Vega Squadron,0, Natus Vincere,2
5,Grand Final, Winstrike Team,0, Natus Vincere,3
