,Team,Win--Loss
0,Vega Squadron,7--0
1,Winstrike Team,4--3
2,Team Empire,4--3
3,Natus Vincere,4--3
4,Gambit Esports,3--4
5,Nemiga Gaming,3--4
6,FlyToMoon,2--5
7,Team Spirit,1--6
