,Standing,Team
1,1st,Natus Vincere
2,2nd,Winstrike Team
3,3rd,Vega Squadron
4,4th,Team Empire
5,5th,Gambit Esports
6,6th,Nemiga Gaming
7,7th,FlyToMoon
8,8th,Team Spirit
