,Hero,Times Banned
0,Lycan,329
1,Batrider,248
2,Doom,171
3,Invoker,157
4,Brewmaster,151
5,Naga Siren,140
6,Io,128
7,Ancient Apparition,114
8,Tinker,104
9,Tidehunter,103
