,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Final, Natus Vincere,2, 4 Anchors + SC,1
1,Lower Bracket Round 1, Vega Squadron,2, Ninjas in Pyjamas,1
2,Lower Bracket Final, 4 Anchors + SC,0, Vega Squadron,2
3,Grand Final, Natus Vincere,3, Vega Squadron,1
