,Standing,Team
1,1st,Mineski
2,2nd,Team Jinesbrus
3,3rd,Team Adroit
4,4th,Team Amplfy
5,5th,496 Gaming
6,6th,BOOM ID
7,7th,EVOS Esports
8,8th,Resurgence
