,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Team Jinesbrus,0, Mineski,2
1,Upper Bracket Round 1, Team Amplfy,1, Team Adroit,2
2,Upper Bracket Final, Mineski,2, Team Adroit,1
3,Lower Bracket Round 1, Team Jinesbrus,2, Team Amplfy,0
4,Lower Bracket Final, Team Adroit,1, Team Jinesbrus,2
5,Grand Final, Mineski,3, Team Jinesbrus,2
