,Team,Win--Loss
0,Team Jinesbrus,6--1
1,Team Amplfy,5--2
2,Team Adroit,4--3
3,Mineski,4--3
4,496 Gaming,3--4
5,BOOM ID,3--4
6,EVOS Esports,2--5
7,Resurgence,1--6
