,Round,Team1,Score1,Team2,Score2
0,Winners' Round 1 (Bo3), MVP HOT6ix,2, MVP Phoenix,1
1,Losers' Round 1 (Bo3), TNC Pro Team,1, Rave,2
2,Losers' Round 2 (Bo3), MVP Phoenix,2, Rave,0
3,Grand Finals (Bo5), MVP HOT6ix,3, MVP Phoenix,1
