,Team,Win--Loss
0,VGJ.Storm,6--1
1,OpTic Gaming,6--1
2,compLexity Gaming,6--1
3,Evil Geniuses,4--3
4,Immortals,2--5
5,Team Baidu,2--5
6,Jsut a Squad,1--6
7,Team Leviathan,1--6
