,Standing,Team
1,1st,VGJ.Storm
2,2nd,Evil Geniuses
3,3rd,OpTic Gaming
4,4th,Immortals
5,5th,compLexity Gaming
6,6th-8th,Team Baidu
7,6th-8th,Jsut a Squad
8,6th-8th,Team Leviathan
