,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, OpTic Gaming,1, Immortals,2
1,Upper Bracket Round 1, compLexity,0, Evil Geniuses,2
2,Upper Bracket Final, Immortals,0, Evil Geniuses,2
3,Qualified, Evil Geniuses,-,-,-
4,Lower Bracket Final, Immortals,0, OpTic Gaming,2
5,Qualified, OpTic Gaming,-,-,-
